source_token,source_lemma,target_rendering,block_id
བླ་མ,བླ་མ,上师,1-1
དང་,དང་,与,1-1
འཇམ་པའི་དབྱངས,འཇམ་པའི་དབྱངས,文殊师利,1-1
གུས་པས,གུས་པས,虔敬之心,1-1
ཕྱག་འཚལ་ལོ,ཕྱག་འཚལ་ལོ,顶礼,1-1
གང་ཞིག,གང་ཞིག,凡,1-2
བྱང་ཆུབ་ཤིང་དབང,བྱང་ཆུབ་ཤིང་དབང,菩提树王,1-2
དྲུང་དུ,དྲུང་དུ,座下,1-2
བདུད་སྡེ་དཔུང་བཅས,བདུད་སྡེ་དཔུང་བཅས,魔军,1-2
ས,ས,地,1-2
དང་,དང་,与,1-2
མཁའ,མཁའ,虚空,1-2
ལ,ལ,于,1-2
ཀུན་ཁྱབ,ཀུན་ཁྱབ,遍布,1-2
རྡོ་རྗེ,རྡོ་རྗེ,金刚,1-2
མདུང་ཐུང,མདུང་ཐུང,短矛,1-2
དང་ནི,དང་ནི,与,1-2
འཁོར་ལོ,འཁོར་ལོ,轮宝,1-2
མེ,མེ,烈火,1-2
དང་,དང་,与,1-2
རི,རི,山峦,1-2
དང་,དང་,与,1-2
གངས་རིའི་ཕྲེང་བས,གངས་རིའི་ཕྲེང་བས,雪山链,1-2
ཆར་འབེབས་པ,ཆར་འབེབས་པ,降雨,1-2
རྫུ་འཕྲུལ་རྣམ་པར་འཕྲུལ་བྱེད,རྫུ་འཕྲུལ་རྣམ་པར་འཕྲུལ་བྱེད,施展神通,1-2
སྟོབས་ལྡན,སྟོབས་ལྡན,力大无穷,1-2
མེ་ཏོག་མདའ་ཅན,མེ་ཏོག་མདའ་ཅན,手持花箭者,1-2
བྱང་ཆུབ,བྱང་ཆུབ,菩提,1-2
བཟློག་ཕྱིར,བཟློག་ཕྱིར,为阻挠,1-2
བརྩོན་པ་ན,བརྩོན་པ་ན,竭力之时,1-2
བྱམས་པའི་ཐུགས་ཀྱིས,བྱམས་པའི་ཐུགས་ཀྱིས,以慈悲之心,1-2
