# bo-zh glossary for dm_translate.py --glossary
# source term<TAB>target rendering -- top-attested rendering per keyword, from
# 2-RAILS/Bilingual-Glossaries/bo-zh.md (consolidated, generated 2026-09-21)
གསོལ་བ་འདེབས་སོ	祈请
གུས་པས	虔诚以
གྱི	之
ཆོས	法
ཏུ་རེ	嘟瑞
ཐར	解脱
དང	与
དངོས་གྲུབ	成就
དཔལ	吉祥
དབང་དུ	权下
དོན་གཉིས	二利
ཕམ་མཛད	折服
ཕྱག་འཚལ	礼敬
ཕྱག་འཚལ་ལོ	顶礼
ཕྲིན་ལས	事业
བྱང་ཆུབ	菩提
མཆོག་ཐུན	殊胜共
མཚོན	兵
ཚེ	寿命
ཞབས་ཀྱིས	以双足
འཇིག་རྟེན	世间
འཇོམས་མ	摧毁尊
འདུད་དོ	顶礼
འཕགས་མ	圣母
འབར་མ	威猛尊
ཡིད་བཞིན་འཁོར་ལོར	如意轮于
ཡུམ	母
རྗེ་བཙུན་མ	圣母
ལྷ	天
ཤིན་ཏུ	极
སེལ་མ	尽除者
སོགས	等
སྐད་ཅིག	刹那
སྐྱབས་མཆི	皈依
སྒྲོལ་མ	度母
སྩོལ	赐予
སྩོལ་ཞིག	请赐予
